countryID,countryName,numGold,numSilver,numBronze
USA,United States of America,0,0,0
CHN,People's Republic of China,0,0,0
JPN,Japan,0,0,0
AUS,Australia,0,0,0
FRA,France,0,0,0
NED,Netherlands,0,0,0
GBR,Great Britain,0,0,0
KOR,Republic of Korea,0,0,0
ITA,Italy,0,0,0
GER,Germany,0,0,0
NZL,New Zealand,0,0,0
CAN,Canada,0,0,0
UZB,Uzbekistan,0,0,0
HUN,Hungary,0,0,0
ESP,Spain,0,0,0
SWE,Sweden,0,0,0
KEN,Kenya,0,0,0
NOR,Norway,0,0,0
IRL,Ireland,0,0,0
BRA,Brazil,0,0,0
IRI,Islamic Republic of Iran,0,0,0
UKR,Ukraine,0,0,0
ROU,Romania,0,0,0
GEO,Georgia,0,0,0
BEL,Belgium,0,0,0
BUL,Bulgaria,0,0,0
SRB,Serbia,0,0,0
CZE,Czechia,0,0,0
DEN,Denmark,0,0,0
AZE,Azerbaijan,0,0,0
CRO,Croatia,0,0,0
CUB,Cuba,0,0,0
BRN,Bahrain,0,0,0
SLO,Slovenia,0,0,0
TPE,Chinese Taipei,0,0,0
AUT,Austria,0,0,0
HKG,Hong Kong,0,0,0
PHI,Philippines,0,0,0
ALG,Algeria,0,0,0
INA,Indonesia,0,0,0
ISR,Israel,0,0,0
POL,Poland,0,0,0
KAZ,Kazakhstan,0,0,0
JAM,Jamaica,0,0,0
RSA,South Africa,0,0,0
THA,Thailand,0,0,0
AIN,AIN,0,0,0
ETH,Ethiopia,0,0,0
SUI,Switzerland,0,0,0
ECU,Ecuador,0,0,0
POR,Portugal,0,0,0
GRE,Greece,0,0,0
ARG,Argentina,0,0,0
EGY,Egypt,0,0,0
TUN,Tunisia,0,0,0
BOT,Botswana,0,0,0
CHI,Chile,0,0,0
LCA,Saint Lucia,0,0,0
UGA,Uganda,0,0,0
DOM,Dominican Republic,0,0,0
GUA,Guatemala,0,0,0
MAR,Morocco,0,0,0
DMA,Dominica,0,0,0
PAK,Pakistan,0,0,0
TUR,Türkiye,0,0,0
MEX,Mexico,0,0,0
ARM,Armenia,0,0,0
COL,Colombia,0,0,0
PRK,Democratic People's Republic of Korea,0,0,0
KGZ,Kyrgyzstan,0,0,0
LTU,Lithuania,0,0,0
IND,India,0,0,0
MDA,Republic of Moldova,0,0,0
KOS,Kosovo,0,0,0
CYP,Cyprus,0,0,0
FIJ,Fiji,0,0,0
JOR,Jordan,0,0,0
MGL,Mongolia,0,0,0
PAN,Panama,0,0,0
TJK,Tajikistan,0,0,0
ALB,Albania,0,0,0
GRN,Grenada,0,0,0
MAS,Malaysia,0,0,0
PUR,Puerto Rico,0,0,0
CPV,Cabo Verde,0,0,0
CIV,Côte d'Ivoire,0,0,0
EOR,Refugee Olympic Team,0,0,0
PER,Peru,0,0,0
QAT,Qatar,0,0,0
SGP,Singapore,0,0,0
SVK,Slovakia,0,0,0
ZAM,Zambia,0,0,0
