venueCode,venueName,openDate,closeDate
1,Aquatics Centre,2024-07-27 09:00:00,2024-08-10 20:00:00
2,Bercy Arena,2024-07-27 09:00:00,2024-08-11 16:00:00
3,Bordeaux Stadium,2024-07-25 17:00:00,2024-08-02 21:59:00
4,Champ de Mars Arena,2024-07-27 08:00:00,2024-08-11 12:00:00
5,Château de Versailles,2024-07-27 07:30:00,2024-08-11 11:30:00
6,Chateauroux Shooting Centre,2024-07-27 07:00:00,2024-08-05 14:35:00
7,Eiffel Tower Stadium,2024-07-27 12:00:00,2024-08-10 21:59:00
8,Elancourt Hill,2024-07-28 12:00:00,2024-07-29 14:30:00
9,Geoffroy-Guichard Stadium,2024-07-25 13:00:00,2024-07-31 19:00:00
10,Grand Palais,2024-07-27 08:00:00,2024-08-10 21:00:00
11,Hôtel de Ville,2024-08-10 06:00:00,2024-08-11 09:15:00
12,Invalides,2024-07-25 07:30:00,2024-08-04 13:20:00
13,La Beaujoire Stadium,2024-07-25 15:00:00,2024-08-08 18:00:00
14,La Concorde,2024-07-27 10:00:00,2024-08-10 20:00:00
15,Le Bourget Sport Climbing Venue,2024-08-05 08:00:00,2024-08-10 11:20:00
16,Golf National,2024-08-01 07:00:00,2024-08-10 16:30:00
17,Lyon Stadium,2024-07-25 17:00:00,2024-08-09 16:00:00
18,Marseille Marina,2024-07-28 09:00:00,2024-08-08 17:00:00
19,Marseille Stadium,2024-07-25 19:00:00,2024-08-06 21:59:00
20,Nice Stadium,2024-07-25 15:00:00,2024-08-31 21:00:00
21,North Paris Arena,2024-07-27 13:30:00,2024-08-08 15:30:00
22,Parc des Princes,2024-07-25 13:00:00,2024-08-10 18:30:00
23,Paris La Defense Arena,2024-07-27 09:00:00,2024-08-11 13:50:00
24,Pierre Mauroy Stadium,2024-07-27 09:00:00,2024-08-11 14:00:00
25,Pont Alexandre III,2024-07-30 06:00:00,2024-08-09 08:30:00
26,Porte de La Chapelle Arena,2024-07-27 06:30:00,2024-08-10 13:45:00
27,Stade Roland-Garros,2024-07-27 10:00:00,2024-08-10 21:30:00
28,Saint-Quentin-en-Yvelines BMX Stadium,2024-08-01 18:00:00,2024-08-02 20:30:00
29,Saint-Quentin-en-Yvelines Velodrome,2024-08-05 15:00:00,2024-08-11 12:40:00
30,South Paris Arena,2024-07-25 07:00:00,2024-08-11 13:45:00
31,Stade de France,2024-07-24 13:30:00,2024-08-10 20:30:00
32,"Teahupo'o - Tahiti",2024-07-27 17:00:00,2024-07-31 03:15:00
33,Trocadéro,2024-08-01 05:30:00,2024-08-07 08:50:00
34,Vaires-sur-Marne Nautical Stadium,2024-08-01 05:30:00,2024-08-07 08:50:00
35,Yves-du-Manoir Stadium,2024-07-27 08:00:00,2024-08-09 20:30:00
